Month,Exportvalue
2010-01,372.7
2010-02,383.8
2010-03,432
2010-04,344.2
2010-05,405.7
2010-06,491.4
2010-07,463.4
2010-08,435.3
2010-09,455.7
2010-10,445.5
2010-11,456.2
2010-12,456.7
2011-01,449.3
2011-02,454
2011-03,520.6
2011-04,351.5
2011-05,328.9
2011-06,479.3
2011-07,510.3
2011-08,529.2
2011-09,589.3
2011-10,454.7
2011-11,431.6
2011-12,493.2
2012-01,463.2
2012-02,542.4
2012-03,592.7
2012-04,522.6
2012-05,659.5
2012-06,627.5
2012-07,613.2
2012-08,607.3
2012-09,582.7
2012-10,584.2
2012-11,557.4
2012-12,545.1
2013-01,549.4
2013-02,589.3
2013-03,633.9
2013-04,603.2
2013-05,651.9
2013-06,607.2
2013-07,606.5
2013-08,634.1
2013-09,642.4
2013-10,624.1
2013-11,600.3
2013-12,616
2014-01,567.6
2014-02,634.6
2014-03,716.3
2014-04,599.1
2014-05,659.1
2014-06,699.8
2014-07,668.1
2014-08,652.7
2014-09,715.7
2014-10,673.6
2014-11,622.6
2014-12,670.1
2015-01,607.8
2015-02,659.3
2015-03,736.3
2015-04,629.5
2015-05,702.2
2015-06,692.2
2015-07,728
2015-08,701.8
2015-09,673.9
2015-10,627
2015-11,583.9
2015-12,664.1
2016-01,579.1
2016-02,631.5
2016-03,833
2016-04,586.1
2016-05,702
2016-06,705.2
2016-07,656
2016-08,723.9
2016-09,760.7
2016-10,739.3
2016-11,683.3
2016-12,703.6
2017-01,627.9
2017-02,680.1
2017-03,844
2017-04,610.1
2017-05,759.2
2017-06,735.7
2017-07,752.4
2017-08,828.8
2017-09,830.5
2017-10,803.7
2017-11,775.7
2017-12,784.1
2018-01,774
2018-02,757.6
2018-03,898.3
2018-04,722.3
2018-05,862.5
2018-06,869.6
2018-07,853.1
2018-08,942.8
2018-09,829
2018-10,880.4
2018-11,807.4
2018-12,783.4
2019-01,750.9
2019-02,778.9
2019-03,861.4
2019-04,739
2019-05,808.6
2019-06,779.4
2019-07,829.1
2019-08,824.4
2019-09,793.7
2019-10,772.9
2019-11,818.3
2019-12,761
2020-01,738.9
2020-02,775.1
2020-03,784.8
2020-04,449.5
2020-05,297.4
2020-06,373.6
2020-07,472.6
2020-08,620.9
2020-09,793.1
2020-10,802.4
2020-11,796.4
2020-12,869.7
