Month,Exportvalue
2000-01,149.1
2000-02,188.1
2000-03,202.5
2000-04,126
2000-05,167.6
2000-06,179.6
2000-07,248.1
2000-08,255
2000-09,225.4
2000-10,231.3
2000-11,226.8
2000-12,220
2001-01,166
2001-02,203.4
2001-03,228.5
2001-04,185.1
2001-05,187.4
2001-06,221.2
2001-07,240.4
2001-08,247
2001-09,249.7
2001-10,271.6
2001-11,248.8
2001-12,205.9
2002-01,199.2
2002-02,212.1
2002-03,224.6
2002-04,205.4
2002-05,224.5
2002-06,250.8
2002-07,234.3
2002-08,250.3
2002-09,321.1
2002-10,282.8
2002-11,307.9
2002-12,206.5
2003-01,293.6
2003-02,301.1
2003-03,298.9
2003-04,288.5
2003-05,302.6
2003-06,315.9
2003-07,362.5
2003-08,365
2003-09,372.4
2003-10,376.2
2003-11,347.8
2003-12,340.9
2004-01,338
2004-02,427.6
2004-03,426
2004-04,368.4
2004-05,413.9
2004-06,521.1
2004-07,475.5
2004-08,468.1
2004-09,492
2004-10,521.3
2004-11,506.9
2004-12,536.4
2005-01,437.1
2005-02,515.7
2005-03,616.1
2005-04,564.9
2005-05,671.8
2005-06,667.2
2005-07,676
2005-08,750.6
2005-09,739.6
2005-10,771.5
2005-11,716.4
2005-12,618.6
2006-01,607.9
2006-02,793.1
2006-03,869.8
2006-04,623.8
2006-05,787.3
2006-06,806.6
2006-07,696.3
2006-08,845.5
2006-09,868
2006-10,824.9
2006-11,906.7
2006-12,894.2
2007-01,876.1
2007-02,974
2007-03,1005
2007-04,783.6
2007-05,1072.4
2007-06,1115.8
2007-07,1095.2
2007-08,194.8
2007-09,1206.1
2007-10,1238
2007-11,1269.7
2007-12,1147.4
2008-01,1278.4
2008-02,1215.2
2008-03,1300.1
2008-04,1119.4
2008-05,1433.5
2008-06,1315.6
2008-07,1531.7
2008-08,1673
2008-09,1516.8
2008-10,1194.9
2008-11,1138.2
2008-12,868.7
2009-01,816.8
2009-02,802.2
2009-03,792
2009-04,580.4
2009-05,835.6
2009-06,790.7
2009-07,858.2
2009-08,989.5
2009-09,1149.2
2009-10,1160.5
2009-11,175.7
2009-12,1170
2010-01,1186.5
2010-02,1516.3
2010-03,1521.5
2010-04,1232.5
2010-05,1493.8
2010-06,1587.2
2010-07,1411.5
2010-08,1737.3
2010-09,1683.5
2010-10,1544.2
2010-11,1585.4
2010-12,1212.7
2011-01,1553.6
2011-02,1761.3
2011-03,1757.5
2011-04,1103.9
2011-05,972.1
2011-06,1587.2
2011-07,1629.3
2011-08,1687.7
2011-09,2002.9
2011-10,1275.2
2011-11,1589.3
2011-12,1064.6
2012-01,1142.3
2012-02,1760
2012-03,1871
2012-04,1431.6
2012-05,2060.9
2012-06,1956
2012-07,2102.2
2012-08,1854.5
2012-09,2240.7
2012-10,2001.2
2012-11,1961.1
2012-12,2414.5
2013-01,1929.6
2013-02,1889.9
2013-03,2225.5
2013-04,1739.4
2013-05,2130.3
2013-06,2149.9
2013-07,1887.1
2013-08,2149.5
2013-09,2410.4
2013-10,2033.7
2013-11,1884.4
2013-12,1971.5
2014-01,1600.1
2014-02,2287.6
2014-03,2330.3
2014-04,1723
2014-05,1965.1
2014-06,2241.3
2014-07,2159.8
2014-08,1966.3
2014-09,2081.9
2014-10,22252.7
2014-11,1966.6
2014-12,1973.5
2015-01,1857.3
2015-02,2258.3
2015-03,2446.4
2015-04,1877.9
2015-05,1976.6
2015-06,1813.3
2015-07,2290.1
2015-08,2107.2
2015-09,2511
2015-10,2256.1
2015-11,2235.7
2015-12,1962
2016-01,1933.7
2016-02,2211.3
2016-03,2518.1
2016-04,1766
2016-05,1989.5
2016-06,2162.6
2016-07,1767.3
2016-08,2892.7
2016-09,2476
2016-10,1999.3
2016-11,2282.8
2016-12,1846.6
2017-01,1898.3
2017-02,2064
2017-03,2492.9
2017-04,1658.2
2017-05,2247.4
2017-06,2235.2
2017-07,2161.9
2017-08,2292.9
2017-09,2547.5
2017-10,2676.5
2017-11,2573.8
2017-12,2195.5
2018-01,2244.3
2018-02,2434.7
2018-03,2583
2018-04,1954.6
2018-05,2826.3
2018-06,2404.1
2018-07,2402.8
2018-08,2728.3
2018-09,2356.5
2018-10,2423.6
2018-11,2368.7
2018-12,2207.7
2019-01,2130.4
2019-02,2242.5
2019-03,2819
2019-04,1877.4
2019-05,2339
2019-06,2399.3
2019-07,2340.8
2019-08,2385.1
2019-09,2485.9
2019-10,2376.1
2019-11,2005.7
2019-12,1919.9
2020-01,2071.9
2020-02,2242.5
2020-03,2127.2
2020-04,867.8
2020-05,892.6
2020-06,369.6
2020-07,1618
2020-08,1700.4
2020-09,2105.4
2020-10,2076.5
2020-11,2213
2020-12,1981.9
