Month,Exportvalue
2011-01,1553.6
2011-02,1761.3
2011-03,1757.5
2011-04,1103.9
2011-05,972.1
2011-06,1587.2
2011-07,1629.3
2011-08,1687.7
2011-09,2002.9
2011-10,1275.2
2011-11,1589.3
2011-12,1064.6
2012-01,1142.3
2012-02,1760
2012-03,1871
2012-04,1431.6
2012-05,2060.9
2012-06,1956
2012-07,2102.2
2012-08,1854.5
2012-09,2240.7
2012-10,2001.2
2012-11,1961.1
2012-12,2414.5
2013-01,1929.6
2013-02,1889.9
2013-03,2225.5
2013-04,1739.4
2013-05,2130.3
2013-06,2149.9
2013-07,1887.1
2013-08,2149.5
2013-09,2410.4
2013-10,2033.7
2013-11,1884.4
2013-12,1971.5
2014-01,1600.1
2014-02,2287.6
2014-03,2330.3
2014-04,1723
2014-05,1965.1
2014-06,2241.3
2014-07,2159.8
2014-08,1966.3
2014-09,2081.9
2014-10,2252.7
2014-11,1966.6
2014-12,1973.5
2015-01,1857.3
2015-02,2258.3
2015-03,2446.4
2015-04,1877.9
2015-05,1976.6
2015-06,1813.3
2015-07,2290.1
2015-08,2107.2
2015-09,2511
2015-10,2256.1
2015-11,2235.7
2015-12,1962
2016-01,1933.7
2016-02,2211.3
2016-03,2518.1
2016-04,1766
2016-05,1989.5
2016-06,2162.6
2016-07,1767.3
2016-08,2892.7
2016-09,2476
2016-10,1999.3
2016-11,2282.8
2016-12,1846.6
2017-01,1898.3
2017-02,2064
2017-03,2492.9
2017-04,1658.2
2017-05,2247.4
2017-06,2235.2
2017-07,2161.9
2017-08,2292.9
2017-09,2547.5
2017-10,2676.5
2017-11,2573.8
2017-12,2195.5
2018-01,2244.3
2018-02,2434.7
2018-03,2583
2018-04,1954.6
2018-05,2826.3
2018-06,2404.1
2018-07,2402.8
2018-08,2728.3
2018-09,2356.5
2018-10,2423.6
2018-11,2368.7
2018-12,2207.7
2019-01,2130.4
2019-02,2242.5
2019-03,2819
2019-04,1877.4
2019-05,2339
2019-06,2399.3
2019-07,2340.8
2019-08,2385.1
2019-09,2485.9
2019-10,2376.1
2019-11,2005.7
2019-12,1919.9
2020-01,2071.9
2020-02,2242.5
2020-03,2127.2
2020-04,867.8
2020-05,892.6
2020-06,369.6
2020-07,1618
2020-08,1700.4
2020-09,2105.4
2020-10,2076.5
2020-11,2213
2020-12,1981.9
